audio_filename,transcript,TTS,source
dataset/Synthetic/UWB/uwb-atcc_ACCU-0agmXf_000000_000395_AT_cosyvoice_l2arctic.wav,sky shuttle one one four zero now descend flight level three three zero,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0agmXf_000479_000630_PI_cosyvoice_l2arctic.wav,descending flight level three,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0agmXf_000964_001554_PIAT_cosyvoice_l2arctic.wav,austrian three two three golf climb flight level three four zero level three four zero austrian three two three g,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0agmXf_001730_002224_AT_cosyvoice_l2arctic.wav,sky shuttle one one four zero contact vienna one three four four four zero bye bye,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0agmXf_002600_003006_PI_cosyvoice_l2arctic.wav,one three four four four zero sky shuttle one one four zero bye,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0agmXf_003172_003449_PI_cosyvoice_l2arctic.wav,praha radar nine zero whiskey level t,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0agmXf_003544_004191_AT_cosyvoice_l2arctic.wav,adriana nine three whiskey hello radar contact proceed to mikov squawk one four six zero bye bye sorry,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0agmXf_005167_005527_AT_cosyvoice_l2arctic.wav,lufthansa two five five zero squawk one four five two,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0agmXf_005602_005744_PI_cosyvoice_l2arctic.wav,squawking one four fi,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0agmXf_005767_006058_PI_cosyvoice_l2arctic.wav,two lufthansa five two five five zero,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0CUxlz_000190_000379_AT_cosyvoice_l2arctic.wav,lufthansa seven three nine praha,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0CUxlz_000496_000897_PI_cosyvoice_l2arctic.wav,lufthansa seven three nine radio descending down level three five zero,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0CUxlz_000944_001520_AT_cosyvoice_l2arctic.wav,good afternoon lufthansa seven three nine praha radar contact descend flight level three zero zero level by rapet,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0CUxlz_001611_002050_PI_cosyvoice_l2arctic.wav,lufthansa seven three nine descending flight level three zero zero level,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0fMimX_000121_000517_PI_cosyvoice_l2arctic.wav,praha good morning lufthansa one uniform xray passing flight level,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0fMimX_000551_000740_PI_cosyvoice_l2arctic.wav,flight level two eight zero to agnav,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0fMimX_000793_001141_AT_cosyvoice_l2arctic.wav,lufthansa one uniform xray praha radar contact,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0H4CW3_000067_000438_PI_cosyvoice_l2arctic.wav,radar aero flot one two two good afternoon passing flight level two,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0H4CW3_000509_000805_PI_cosyvoice_l2arctic.wav,eight climb flight level two eight zero,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0H4CW3_000933_001628_AT_cosyvoice_l2arctic.wav,aero flot one two two hello radar contact proceed to pemur climb to flight level three one zero,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0H4CW3_001764_002136_PI_cosyvoice_l2arctic.wav,climbing level three one zero cleared to direct pemur aero flot one two two,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0H4CW3_002267_003031_PIAT_cosyvoice_l2arctic.wav,praha good afternoon malaysian two one flight level three three zero squawking zero six four seven malaysian two one hello radar contact maintain flight level three three zero,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0H4CW3_003102_003278_PI_cosyvoice_l2arctic.wav,level three three zero malaysian two one,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0iyG6P_000000_000605_AT_cosyvoice_l2arctic.wav,csa two nine six proceed to pepik climb to flight level three nine zero,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0iyG6P_000667_001058_PI_cosyvoice_l2arctic.wav,proceed to pepik climb flight level three nine zero csa two nine six,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0iyG6P_001677_001928_PI_cosyvoice_l2arctic.wav,good evening three eight papa golf,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0iyG6P_001960_002203_PI_cosyvoice_l2arctic.wav,climbing flight level one six zero direct rap,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0iyG6P_002282_003032_PIAT_cosyvoice_l2arctic.wav,easy three papa golf praha good evening radar contact climb to flight level two six zero climb to flight level two six zero easy three papa golf,cosyvoice_tts,l2arctic
dataset/Synthetic/UWB/uwb-atcc_ACCU-0iyG6P_003156_003836_PIAT_cosyvoice_l2arctic.wav,praha good evening german wings three one zero flight level three five zero german wings three one zero good evening radar contact direct pepik,cosyvoice_tts,l2arctic
